Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
澳大利亚,,33.5,,33.5,33.1,,,,35.4,,34.7,,,,35.8
日本,,,,,,,,,32.1,,,,,,
韩国,,,,,,,31.7,,32.3,,32,,31.6,,
中国,,,42.1,,,41,,,42.9,,43.7,42.4,42.2,39.7,39.1
斐济,,,38.1,,,,,,40.4,,,,,36.7,
马来西亚,,,,,46.1,,,46.1,45.5,46.3,,43.9,,41.3,
泰国,42.8,,41.9,,42.5,,41.8,39.8,40.3,39.6,39.4,37.5,39.3,37.8,37
汤加,,37.7,,,,,,,,37.5,,,,,
图瓦卢,,,,,,,,,,,39.1,,,,
密克罗尼西亚,63.26,,,,,42.4,,,,,,,,40.1,
印度尼西亚,28.5,29,31.7,31.8,32.7,33,34.2,35.7,35.1,35.1,36.4,39.7,39.6,39.9,39.4
基里巴斯,,,,,,,37,,,,,,,,
老挝,,,32.6,,,,,35.4,,,,,36.4,,
蒙古,,,32.9,,,,,35.8,,,33.1,33.9,33.8,,32
菲律宾,42.8,,,41.5,,,42.9,,,41.8,,,42.2,,
巴布亚新几内亚,,,,,,,,,,41.9,,,,,
所罗门群岛,,,,,,46.1,,,,,,,,37.1,
东帝汶,,35.9,,,,,,27.8,,,,,,,28.7
越南,,,37,,36.8,,35.8,,35.6,,39.3,,35.6,,34.8
瓦努阿图,,,,,,,,,,,37.6,,,,
萨摩亚,,,40.7,,,,,,42,,,,,38.7,
柬埔寨,,,,,35.46,,,41.14,35.1,34.65,33.44,31.7,30.76,,
奥地利,,,,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5
比利时,,,,28.1,30.5,29.3,28.1,29.2,28.4,28.5,28.4,28.1,27.5,27.7,28.1
瑞士,,,,,,,33.9,34.3,33.8,32.9,32.6,31.7,31.6,32.5,32.5
捷克,,,,,27.5,26.9,26.7,26,26.3,26.2,26.6,26.4,26.1,26.5,25.9
德国,28.8,30.3,30,30.3,30.4,32.3,31.3,31.3,31.2,30.5,30.2,30.5,,31.1,
丹麦,,,,25.6,24.9,25.2,25.9,26.2,25.2,26.7,27.2,27.3,27.8,28.5,28.4
西班牙,,,,31.8,33.3,32.4,33.5,34.1,34.2,34.9,35.2,35.7,35.4,36.2,36.1
